Model Name,Block Name,Depth Config,Width,Resolution,MADDs
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width1_re256x256",BasicBlock,"[2,2,2,2]",1,256,2368737984
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width1_re512x512",BasicBlock,"[2,2,2,2]",1,512,9474937536
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width1_re768x768",BasicBlock,"[2,2,2,2]",1,768,21318603456
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width1_re1024x1024",BasicBlock,"[2,2,2,2]",1,1024,37899735744
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width2_re256x256",BasicBlock,"[2,2,2,2]",2,256,8744084928
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width2_re512x512",BasicBlock,"[2,2,2,2]",2,512,34976310720
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width2_re768x768",BasicBlock,"[2,2,2,2]",2,768,78696687040
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width2_re1024x1024",BasicBlock,"[2,2,2,2]",2,1024,139905213888
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width3_re256x256",BasicBlock,"[2,2,2,2]",3,256,19229849728
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width3_re512x512",BasicBlock,"[2,2,2,2]",3,512,76919355520
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width3_re768x768",BasicBlock,"[2,2,2,2]",3,768,173068531840
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width3_re1024x1024",BasicBlock,"[2,2,2,2]",3,1024,307677378688
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width4_re256x256",BasicBlock,"[2,2,2,2]",4,256,33842809664
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width4_re512x512",BasicBlock,"[2,2,2,2]",4,512,135371180864
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width4_re768x768",BasicBlock,"[2,2,2,2]",4,768,304585132864
"exp04_resnet_BasicBlock_depth[2,2,2,2]_width4_re1024x1024",BasicBlock,"[2,2,2,2]",4,1024,541484665664
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width1_re256x256",BasicBlock,"[3,4,6,3]",1,256,4784660800
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width1_re512x512",BasicBlock,"[3,4,6,3]",1,512,19138617664
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width1_re768x768",BasicBlock,"[3,4,6,3]",1,768,43061879104
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width1_re1024x1024",BasicBlock,"[3,4,6,3]",1,1024,76554445120
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width2_re256x256",BasicBlock,"[3,4,6,3]",2,256,18407768768
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width2_re512x512",BasicBlock,"[3,4,6,3]",2,512,73631023808
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width2_re768x768",BasicBlock,"[3,4,6,3]",2,768,165669782208
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width2_re1024x1024",BasicBlock,"[3,4,6,3]",2,1024,294524043968
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width3_re256x256",BasicBlock,"[3,4,6,3]",3,256,40973132800
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width3_re512x512",BasicBlock,"[3,4,6,3]",3,512,163892454400
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width3_re768x768",BasicBlock,"[3,4,6,3]",3,768,368757990400
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width3_re1024x1024",BasicBlock,"[3,4,6,3]",3,1024,655569740800
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width4_re256x256",BasicBlock,"[3,4,6,3]",4,256,72497530176
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width4_re512x512",BasicBlock,"[3,4,6,3]",4,512,289990018368
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width4_re768x768",BasicBlock,"[3,4,6,3]",4,768,652477498688
"exp04_resnet_BasicBlock_depth[3,4,6,3]_width4_re1024x1024",BasicBlock,"[3,4,6,3]",4,1024,1159959971136
